User ID,Gender,City,Total,Payment
750-67-8428,Female,Yangon,548.9715,
226-31-3081,Female,Naypyitaw,80.22,
631-41-3108,Male,Yangon,340.5255,
123-19-1176,Male,Yangon,489.048,
373-73-7910,Male,Yangon,634.3785,
699-14-3026,Male,Naypyitaw,627.6165,
355-53-5943,Female,Yangon,433.69199999999995,
315-22-5665,Female,Naypyitaw,772.38,
665-32-9167,Female,Yangon,76.146,
692-92-5582,Female,Mandalay,172.74599999999998,
351-62-0822,Female,Mandalay,60.816,
529-56-3974,Male,Mandalay,107.14200000000001,
365-64-0515,Female,Yangon,246.4875,
252-56-2699,Male,Yangon,453.495,
829-34-3910,Female,Yangon,749.49,
299-46-1805,Female,Mandalay,590.436,
656-95-9349,Female,Yangon,506.6355,
765-26-6951,Male,Yangon,457.44300000000004,
329-62-1586,Male,Yangon,172.2105,
319-50-3348,Female,Mandalay,84.63,
300-71-4605,Male,Naypyitaw,451.71,
371-85-5789,Male,Mandalay,277.137,
273-16-6619,Male,Mandalay,69.72,
636-48-8204,Male,Yangon,181.44,
549-59-1358,Male,Yangon,279.1845,
227-03-5010,Female,Yangon,441.756,
649-29-6775,Male,Mandalay,35.196,
189-17-4241,Female,Yangon,184.107,
145-94-9061,Female,Mandalay,463.89,
848-62-7243,Male,Yangon,235.2105,
871-79-8483,Male,Mandalay,494.1825,
149-71-6266,Male,Mandalay,737.7615,
640-49-2076,Male,Mandalay,703.752,
595-11-5460,Male,Yangon,202.81799999999998,
183-56-6882,Female,Naypyitaw,417.564,
232-16-2483,Female,Naypyitaw,71.52600000000001,
129-29-8530,Male,Yangon,328.755,
272-65-1806,Female,Yangon,575.316,
333-73-7901,Female,Naypyitaw,461.32800000000003,
777-82-7220,Male,Mandalay,253.00799999999998,
280-35-5823,Female,Mandalay,91.056,
554-53-8700,Male,Naypyitaw,117.831,
354-25-5821,Female,Mandalay,435.45599999999996,
228-96-1411,Female,Naypyitaw,829.08,
617-15-4209,Male,Naypyitaw,32.277,
132-32-9879,Female,Mandalay,394.63199999999995,
370-41-7321,Male,Mandalay,535.7205,
727-46-3608,Female,Mandalay,189.0945,
669-54-1719,Male,Mandalay,119.259,
574-22-5561,Female,Naypyitaw,867.615,
326-78-5178,Male,Naypyitaw,671.79,
162-48-8011,Female,Yangon,234.0975,
616-24-2851,Female,Mandalay,75.054,
778-71-5554,Male,Naypyitaw,16.2015,
242-55-6721,Male,Mandalay,33.936,
399-46-5918,Female,Naypyitaw,722.232,
106-35-6779,Male,Yangon,93.11399999999999,
635-40-6220,Male,Yangon,752.64,
817-48-8732,Female,Yangon,759.675,
120-06-4233,Male,Naypyitaw,192.843,
285-68-5083,Female,Naypyitaw,77.931,
803-83-5989,Male,Naypyitaw,351.099,
347-34-2234,Female,Mandalay,520.4115,
199-75-8169,Male,Yangon,166.005,
853-23-2453,Male,Mandalay,318.108,
877-22-3308,Male,Yangon,166.635,
838-78-4295,Female,Naypyitaw,70.28699999999999,
109-28-2512,Female,Mandalay,614.943,
232-11-3025,Male,Yangon,827.085,
382-03-4532,Female,Yangon,19.2465,
393-65-2792,Male,Naypyitaw,939.54,
796-12-2025,Male,Naypyitaw,652.26,
510-95-6347,Female,Mandalay,152.838,
841-35-6630,Female,Naypyitaw,478.233,
287-21-9091,Male,Yangon,705.6315,
732-94-0499,Female,Naypyitaw,437.325,
263-10-3913,Male,Naypyitaw,463.42800000000005,
381-20-0914,Female,Yangon,189.0945,
829-49-1914,Female,Naypyitaw,822.255,
756-01-7507,Female,Naypyitaw,106.995,
870-72-4431,Female,Naypyitaw,624.8969999999999,
847-38-7188,Female,Mandalay,304.54200000000003,
480-63-2856,Male,Naypyitaw,161.7,
787-56-0757,Female,Naypyitaw,337.51199999999994,
360-39-5055,Male,Naypyitaw,256.7775,
730-50-9884,Female,Naypyitaw,610.491,
362-58-8315,Male,Naypyitaw,401.73,
633-44-8566,Male,Yangon,362.94300000000004,
504-35-8843,Male,Yangon,44.5935,
318-68-5053,Female,Mandalay,485.037,
565-80-5980,Female,Naypyitaw,198.99599999999998,
225-32-0908,Female,Naypyitaw,471.03,
873-51-0671,Female,Yangon,161.553,
152-08-9985,Male,Mandalay,608.202,
512-91-0811,Male,Naypyitaw,94.2375,
594-34-4444,Male,Yangon,102.01799999999999,
766-85-7061,Male,Mandalay,922.635,
871-39-9221,Female,Naypyitaw,78.435,
865-92-6136,Male,Yangon,9.3,
